run,suffix
1,[122306| 53098| 5320| 95930| 91419| 117815| 1199| 73407| 113982| 106590| 76223| 54705| 97164| 44523| 103385| 121405| 48612| 116645| 123160| 70792| 92663| 54757| 32253| 83228| 68380]
2,[79660| 40520| 71675| 45651| 38081| 120389| 59572| 36041| 110081| 67952| 27949| 105407| 31694| 48391| 116138| 58335| 80919| 40605| 110279| 75159| 19993| 47456| 32667| 99994| 3618]
3,[27311| 81172| 72679| 87131| 127044| 4380| 92992| 33164| 86730| 33160| 28369| 76847| 115276| 5900| 61911| 50199| 109910| 78444| 63962| 79105| 46368| 76643| 28895| 111057| 80418]
4,[53789| 91050| 75265| 63039| 26897| 76194| 56141| 2866| 124743| 7246| 6721| 33976| 50081| 73408| 74756| 38333| 87151| 127761| 83910| 4609| 7352| 27428| 7982| 93119| 32396]
5,[61228| 75255| 22396| 53710| 122886| 22474| 70367| 95251| 46973| 64120| 36465| 13940| 37520| 42298| 117418| 65486| 35867| 29973| 2904| 118791| 906| 52019| 96868| 53305| 15425]
6,[98071| 37366| 76286| 77160| 109396| 75148| 48896| 81004| 77711| 27221| 63778| 85874| 12707| 73268| 69427| 102962| 112102| 74829| 71585| 119964| 56903| 1199| 49258| 121804| 82061]
7,[94488| 67848| 122099| 107176| 87811| 47499| 31780| 25626| 117657| 53389| 91399| 99319| 62282| 65192| 100798| 112001| 109517| 88603| 48747| 66096| 54227| 64352| 112228| 84895| 340]
8,[40698| 113412| 36940| 94691| 113876| 88890| 61142| 62215| 121642| 43431| 62311| 115743| 102162| 88240| 32957| 102673| 63207| 106688| 80612| 92106| 24449| 21335| 92726| 95183| 69427]
9,[77355| 39321| 105259| 90314| 110887| 91254| 57766| 100456| 16630| 53362| 21069| 13866| 97642| 88306| 80135| 15716| 21062| 14197| 78266| 10929| 35840| 27640| 127317| 62712| 97169]
10,[96419| 51382| 127166| 23848| 115775| 76672| 108580| 28297| 116382| 116105| 99965| 77123| 75025| 61578| 100598| 127568| 52121| 113746| 8025| 96047| 61003| 22962| 39805| 83315| 77988]
11,[2021| 44817| 8481| 64113| 63718| 53069| 106658| 67802| 23805| 27544| 34437| 5330| 66473| 25207| 42863| 110831| 95458| 82765| 18020| 61326| 29973| 46532| 85313| 69200| 45835]
12,[110700| 35086| 68892| 25313| 107628| 20600| 38349| 4652| 68489| 98275| 84185| 33823| 88312| 10615| 7927| 93837| 30888| 36299| 83263| 9670| 75998| 35873| 81587| 19658| 44135]
13,[29862| 50204| 72549| 63052| 104638| 54918| 79016| 61781| 81323| 85328| 548| 94652| 81533| 76031| 39978| 89531| 68040| 124584| 120842| 73048| 103851| 116118| 61311| 88836| 105051]
14,[121914| 101901| 107689| 82535| 90661| 86166| 23468| 119321| 82993| 54351| 52232| 86716| 123000| 120297| 29611| 48831| 70769| 113442| 66351| 8047| 18412| 50904| 9672| 95907| 106628]
15,[24554| 96514| 78236| 10085| 54505| 106690| 36997| 57373| 97587| 29600| 96094| 113157| 44931| 14573| 60657| 102304| 29122| 115283| 51701| 65982| 53762| 17655| 38832| 38542| 27218]
16,[90654| 74159| 64279| 89744| 54920| 68868| 73028| 111398| 103985| 95984| 28248| 22233| 76532| 80069| 103856| 11969| 123337| 105955| 11744| 27535| 45956| 76405| 42276| 34311| 99755]
17,[91428| 54856| 29315| 123271| 69762| 84208| 106871| 9644| 111083| 20045| 20359| 71806| 106028| 48985| 64523| 76811| 116575| 12867| 4776| 106779| 107432| 77137| 41795| 35845| 56323]
18,[112136| 39571| 16284| 17848| 47745| 54001| 98791| 27837| 52172| 100487| 83194| 114878| 42572| 35653| 78582| 10681| 122968| 85834| 26295| 100130| 54647| 19426| 31115| 7938| 39420]
19,[2969| 63842| 91888| 9321| 102634| 111439| 90122| 77639| 35764| 78932| 21241| 4866| 85990| 98846| 101233| 10920| 19130| 101083| 33080| 38320| 46671| 46450| 108337| 106165| 106181]
20,[59077| 9868| 49692| 123583| 36168| 80488| 24588| 74163| 93619| 38186| 75105| 37364| 31663| 82086| 97754| 7329| 101281| 119283| 65488| 117990| 51309| 117428| 825| 68039| 74029]
21,[6956| 82042| 26314| 45089| 36746| 82407| 45993| 28575| 91924| 5910| 105146| 38263| 18302| 72102| 24473| 43584| 76337| 51862| 12084| 36218| 86049| 35126| 15659| 89499| 4165]
22,[30554| 94691| 67539| 65298| 2376| 38755| 70003| 53567| 61809| 44995| 98035| 8544| 77163| 573| 9432| 66845| 85546| 90692| 53402| 22376| 1534| 13259| 125513| 11449| 53236]
23,[28298| 82042| 31493| 124103| 124838| 14641| 22800| 59820| 62437| 23247| 120366| 102409| 19131| 37393| 80877| 71003| 87127| 122189| 16167| 42713| 111973| 115362| 127866| 45189| 54337]
24,[81969| 81558| 110588| 26150| 88891| 78891| 81339| 8131| 93665| 57646| 75212| 106118| 584| 87350| 113253| 116998| 12482| 93933| 38304| 75200| 75356| 45570| 46246| 61137| 57277]
25,[18591| 118518| 103972| 71096| 87879| 66968| 85370| 3347| 55999| 32| 104625| 113865| 61185| 31936| 90051| 6721| 41435| 83371| 101724| 1466| 4359| 30349| 87550| 39967| 81430]
26,[17278| 81755| 56577| 100340| 113337| 80868| 81960| 39151| 89169| 41532| 102422| 41601| 16148| 84661| 104748| 27092| 25457| 48765| 74511| 34753| 80825| 68910| 109396| 98517| 82611]
27,[73115| 16840| 92421| 61862| 16352| 121083| 44691| 2573| 44280| 86886| 28182| 92166| 66452| 51398| 85940| 72425| 87082| 88116| 58143| 10266| 91985| 105051| 121600| 86909| 366]
28,[106399| 64530| 89013| 80148| 37488| 3877| 49484| 58094| 103697| 23179| 27744| 86949| 4520| 80051| 41351| 10717| 86900| 91945| 47773| 62137| 8243| 101451| 35447| 35147| 66238]
29,[91351| 22914| 60395| 45721| 100096| 52816| 69959| 25275| 22707| 98701| 94402| 101998| 72650| 85121| 86767| 46318| 78809| 67502| 118140| 28269| 12959| 36854| 81587| 40808| 83124]
30,[31685| 35855| 88877| 68376| 57082| 40024| 55256| 107002| 110296| 105449| 101205| 126166| 37636| 46032| 104590| 118034| 120701| 35261| 94361| 26286| 20213| 19622| 102319| 4345| 18928]
